จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,หมายเลข,ชื่อสกุล,พรรค,คะแนน
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,5,นายจรยุทธ มาศบำรุง,ประชาชน,54
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,4
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,165
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,10
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,62
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,4,นายเจริญ ชินวงศ์,กล้าธรรม,4
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,5,นายจรยุทธ มาศบำรุง,ประชาชน,32
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,6,4,447,304,420,304,276,11,17,116,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,173
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,8
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,74
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,4,นายเจริญ ชินวงศ์,กล้าธรรม,5
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,5,นายจรยุทธ มาศบำรุง,ประชาชน,35
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,7,นายปัญโน หวานนุรักษ์,พลวัต,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,3
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,7,4,434,323,420,323,301,11,11,97,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,122
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,8,5,487,345,480,345,307,8,30,135,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,8
